Ticket #,Tab,Vendor,MSC Part #,Material,Material Grade,Coolant,Interrupted Cut,Machine Type,Insert Number,Insert Grade,Surface Feet Per Minute,Inches Per Revolution,Total Depth of Cut in Inches,Number of Parts Per Insert Edge,Tool Life,Index Time in Seconds,Annual Part Production,Burden Rate Per Hour,Insert Cost Per Each Insert,Number of Edges per Insert,Cycle Time Per Part in Seconds
001013291,Actual,SECO,84391101,"Med-High Plain-Carbon,Alloy, Tool Steels",A,Wet,None,lathe,WNMG-432,TP2500,1050.0,0.012,0.08,110.0,22.85381857,1.,18000,65.0,14.68,6,12.46571922
001013288,Current,SANDVIK HARD MATERIALS,,"Med-High Plain-Carbon,Alloy, Tool Steels",A,Wet,None,lathe,TNMG333,GC4015,750.0,0.01,0.02,80.0,27.92321112,1.0,18000,65.0,14.59,6,20.94240834
001013288,Actual,SECO,72492473,"Med-High Plain-Carbon,Alloy, Tool Steels",A,Wet,None,lathe,TNMG333,TP2500,1050.0,0.014,0.02,132.0,23.506784796,1.0,18000,65.0,13.75,6,10.68490218
001013275,Current,SANDVIK HARD MATERIALS,,"Med-High Plain-Carbon,Alloy, Tool Steels",A,Wet,None,lathe,TNMG333,GC4015,750.0,0.01,0.02,80.0,27.92321112,1.0,18000,65.0,14.59,6,20.94240834
001013275,Actual,KENNAMETAL,65858318,"Med-High Plain-Carbon,Alloy, Tool Steels",A,Wet,None,lathe,TNMG-433,KCP10,950.0,0.012,0.02,115.0,26.407642049999996,1.0,18000,65.0,13.29,6,13.7779002
001013272,Current,SANDVIK HARD MATERIALS,,Low-Carbon Steels,1018,Dry,Light,VTL,CNMG 432 PM,4225,450.0,0.015,0.125,1.0,628.272251307,60,200,75.00,11.5,4,37696.33507842
001013272,Actual,SECO,84390103,Low-Carbon Steels,1018,Dry,Light,VTL,CNMG 432 M5,TP2500,500.0,0.015,0.125,2.0,1130.8900528259999,60,200,75.00,11.25,4,33926.70158478
001013248,Current,SANDVIK HARD MATERIALS,,"Med-High Plain-Carbon,Alloy, Tool Steels",A,Wet,None,lathe,WNMG-433,GC4015,750.0,0.01,0.08,70.0,24.432809730000002,1.,18000,65.0,17.62,6,20.94240834
001013248,Actual,KENNAMETAL,65855306,"Med-High Plain-Carbon,Alloy, Tool Steels",A,Wet,None,lathe,WNMG-433,KCP10,950.0,0.014,0.08,110.0,21.65098606,1.,18000,65.0,16.76,6,11.80962876
001013238,Current,PETERSON TOOL,,Free-Machining Steels,1116,Wet,None,12,3343,T21,155.0,0.07,0.124,1.0,0.434289574,30,120,66.00,12.00,1,26.05737444
001013238,Actual,HERTEL,37770468,Free-Machining Steels,1116,Wet,None,12,37770468,HC125T,155.0,0.07,0.124,55.0,23.885926570000002,30,120,66.00,.855,1,26.05737444
001013235,Current,HERTEL,,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Dry,Light,LeBLOND,GTN3,HC,150.0,0.07,0.125,30.0,26.92595361,30,120,66,12.,1,53.85190722
001013235,Actual,HERTEL,09061110,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Dry,Light,LeBLOND,09061110,NONE,150.0,0.07,0.125,60.0,53.85190722,30,120,66,8.56,1,53.85190722
001013210,Current,TUNGALOY,,Ductile (Nodular) & Malleable Cast Irons,A47,Wet,None,Doosan - S550LM,CNMG120408 ASW,AT530,1000.0,0.008,0.015,27.0,14.909195016,60,5000,65.00,12.74,4,33.13154448
001013210,Actual,KENNAMETAL,06410401,Ductile (Nodular) & Malleable Cast Irons,A47,Wet,None,Doosan - S550LM,CNMG432FW,KT315,1900.0,0.008,0.015,39.0,11.334475737000002,60,5000,65.00,11.35,4,17.43765498
001013196,Current,"ISCAR METALS, INC.",,Titanium & Titanium Alloys,Ti-6Al-4V,Wet,Light,Lathe,30,IC806,110.0,0.005,0.09,3.0,9.536275247999999,5,1000,90,11.50,6,190.72550496
001013196,Actual,"ISCAR METALS, INC.",44796118,Titanium & Titanium Alloys,Ti-6Al-4V,Wet,Light,Lathe,WNMG 432TF,IC806,150.0,0.009,0.18,6.0,7.417102968000001,5,1000,90,11.50,6,74.17102968
001013193,Current,SANDVIK HARD MATERIALS,,Ductile (Nodular) & Malleable Cast Irons,A47,Wet,Heavy,Mori,CCMT09T308 PR,4225,549.0,0.012,0.03,150.0,26.821731600000003,60,72000,50,19.27,4,10.72869264
001013193,Actual,KENNAMETAL,08339947,Ductile (Nodular) & Malleable Cast Irons,A47,Wet,Heavy,Mori,CCMT3252MF,KCP30,549.0,0.012,0.03,300.0,53.64346320000001,60,72000,50,19.27,4,10.72869264
001013133,Current,SANDVIK HARD MATERIALS,,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,Light,CNC LATHE,CNMG432PM,4025,700.0,0.0065,60.0,120.0,434.95771248,360,10000,65,15.91,4,217.47885624
001013133,Actual,SECO,45680436,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,Light,CNC LATHE,CNMG432MF5,TP3500,700.0,0.008,60.0,120.0,353.40314136,360,10000,65,16.57,4,176.70157068
001013121,Current,MITSUBISHI MATERIALS U.S.A. CO,,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,Light,Daewoo CNC lathe,vnmg332ma,ue6035,325.0,0.01,0.18,20.0,135.32017716000001,60,50,75.00,18.81,4,405.96053148
001013121,Actual,SECO,84391002,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,Light,Daewoo CNC lathe,vnmg332m3,tp2500,325.0,0.01,0.18,1.0,6.766008858,60,50,75.00,27.18,4,405.96053148
001013120,Current,SANDVIK HARD MATERIALS,,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,Okuma CNC Lathe,CNMM433 PR,4225,600.0,0.018,0.17,15.0,11.56195458,120,35000,70.0,9.26,4,46.24781832
001013120,Actual,KENNAMETAL,69261089,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,Okuma CNC Lathe,C8FIX150612L RN,KCP40,600.0,0.024,0.17,30.0,17.34293187,120,35000,70.0,27.36,8,34.68586374
001013104,Current,SUMITOMO ELECTRIC CARBIDE INC,,Ductile (Nodular) & Malleable Cast Irons,A47,Dry,None,Mori,CNMG 434,ac,800.0,0.016,0.125,100.0,81.80628250000001,120,30000,65,7.1,4,49.0837695
001013104,Actual,SECO,09364928,Ductile (Nodular) & Malleable Cast Irons,A47,Dry,None,Mori,CNMG 434,TK2001,800.0,0.02,0.125,175.0,114.52879550000002,120,30000,65,8.95,4,39.2670156
001013036,Current,KENNAMETAL,,"Ferritic, Martensitic, PH Stainless Steels",440C,Wet,None,CNC LATHE,A4SMR120314N02,KC5025,286.0,0.003,0.118,60.0,82.37835468,360,12000,65,21.20,2,82.37835468
001013036,Actual,SECO,72022395,"Ferritic, Martensitic, PH Stainless Steels",440C,Wet,None,CNC LATHE,LCMF1603040300MC,CP600,415.0,0.004,0.118,90.0,63.86803758,360,12000,65,26.30,2,42.57869172
001013035,Current,VALENITE INC,,"Med-High Plain-Carbon,Alloy, Tool Steels",4130,Wet,Light,CNC LATHE,CNMG432PM,VP5665,350.0,0.014,0.15,26.0,311.144353,360,500,65,12.77,4,718.02543
001013035,Actual,SECO,45680485,"Med-High Plain-Carbon,Alloy, Tool Steels",4130,Wet,Light,CNC LATHE,CNMG432MR6,TP1500,500.0,0.014,0.15,35.0,293.19371725,360,500,65,16.57,4,502.617801
001013028,Current,KENNAMETAL,,Aluminum,6061-T6,Wet,None,Puma  C40MS,DNGP432,KC5410,200.0,0.015,0.2,100.0,279.23211159999994,360,300,85.00,27.14,2,167.53926696
001013028,Actual,KENNAMETAL,06410856,Aluminum,6061-T6,Wet,None,Puma  C40MS,DNGP431,KC5410,400.0,0.025,0.2,100.0,83.7696334,360,300,85.00,26.41,2,50.26178004
001013023,Current,MITSUBISHI MATERIALS U.S.A. CO,,Low-Carbon Steels,A-513 T5 Steel Tubing,Wet,None,Lathe CNC,CNMG-432,630,600.0,0.01,0.08,78.0,76.570680576,1.0,8000,65.,15.50,4,58.90052352
001013023,Actual,"ISCAR METALS, INC.",60817384,Low-Carbon Steels,A-513 T5 Steel Tubing,Wet,None,Lathe CNC,GFN-3,IC908,850.0,0.014,0.08,110.0,54.44586202,1.0,8000,65.,16.19,4,29.69774292
001013022,Current,VALENITE INC,,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,CNC LATHE,CNMG430.5FF,VP5665,650.0,0.005,0.04,37.0,41.723721291,360,5000,65,11.54,4,67.66008858
001013022,Actual,SECO,44942019,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,CNC LATHE,CNMG430.5FF2,CP500,725.0,0.005,0.04,35.0,35.38544863,360,5000,65,10.47,4,60.66076908
001013021,Current,VALENITE INC,,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,CNC LATHE,CNMG431FN,VP5665,650.0,0.005,0.04,55.0,62.021747864999995,360,5000,65,11.54,4,67.66008858
001013021,Actual,SECO,44941946,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,CNC LATHE,CNMG431FF2,CP500,725.0,0.005,0.04,60.0,60.66076908,360,5000,65,10.47,4,60.66076908
001013018,Current,VALENITE INC,,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,CNC LATHE,DNMG431FN,VP5665,650.0,0.003,0.02,34.0,63.90119480399999,360,5000,65,11.54,4,112.76681436
001013018,Actual,SECO,43289511,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,CNC LATHE,DNMG432FF2,TP1030,725.0,0.005,0.02,60.0,60.66076908,360,5000,65,13.84,4,60.66076908
001013012,Current,VALENITE INC,,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,CNC LATHE,CNMG432QM,VP5625,600.0,0.012,0.125,45.0,68.71727745,360,5000,65,12.47,4,91.6230366
001013012,Actual,SUMITOMO ELECTRIC CARBIDE INC,01591668,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,CNC LATHE,CNMG432ENG,AC3000,625.0,0.014,0.125,78.0,49.005235578000004,360,5000,65,13.22,4,37.69633506
001013008,Current,WALTER-WAUKESHA,,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,OKUMA LATHE,CNMG432,WPP20,600.0,0.014,0.12,1.0,2.49314385,30,2000,60,8,4,149.588631
001013008,Actual,WALTER-WAUKESHA,72795438,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,OKUMA LATHE,CNMG432,WPP20S,600.0,0.014,0.12,2.0,4.9862877,30,2000,60,8.00,4,149.588631
001013007,Current,WALTER-WAUKESHA,,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,OKUMA LATHE,CNMG432,WPP10,600.0,0.014,0.12,1.0,2.49314385,30,2000,60,8.00,4,149.588631
001013007,Actual,WALTER-WAUKESHA,72795404,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,OKUMA LATHE,CNMG432,WPP10S,900.0,0.014,0.12,2.0,3.3241918,30,2000,60,8,4,99.725754
001012999,Current,"ISCAR METALS, INC.",,Low-Carbon Steels,1026,Wet,None,CNC LATHE,VCMT221,IC908,740.0,0.003,0.025,60.0,12.35319084,360,20000,65,14.37,2,12.35319084
001012999,Actual,KENNAMETAL,01402783,Low-Carbon Steels,1026,Wet,None,CNC LATHE,CCMT3251FW,KT315,1000.0,0.004,0.025,160.0,9.14136112,360,20000,65,16.55,2,3.42801042
001012989,Current,KORLOY,,Gray Cast Irons,class 20,Wet,None,TL5,DNMG432,NC3030,350.0,0.007,0.062,3.0,40.388930433,60,2000,80.0,8.95,4,807.77860866
001012989,Actual,KENNAMETAL,79260519,Gray Cast Irons,class 20,Dry,None,TL5,DNMG432,KC3500,870.0,0.01,0.062,125.0,473.912258625,60,2000,80.0,25.12,4,227.47788414
001012988,Current,DORIAN TOOL COMPANY,,Austenitic Stainless Steels,CF-8M,Wet,None,LeBLOND,CNMG432,DNP25,214.0,0.005,0.12,58.0,1660.224103928,60,500,60,8.50,4,1717.47321096
001012988,Actual,HERTEL,37770468,Austenitic Stainless Steels,CF-8M,Wet,None,LeBLOND,DNMG 432,HC125T,380.0,0.006,0.12,30.0,403.00358241,60,500,60,14.00,4,806.00716482
001012973,Current,SECO,,Titanium & Titanium Alloys,Ti-6Al-4V,Wet,Heavy,Okuma CNC Lathe,VBMT332-F2,TS2000,180.0,0.005,0.05,0.5,53.010471195,60,100,80,22.07,2,6361.2565434
001012973,Actual,KENNAMETAL,04217030,Titanium & Titanium Alloys,Ti-6Al-4V,Wet,Heavy,Okuma CNC Lathe,VBMT332 LF,KC5010,180.0,0.005,0.05,1.0,106.02094239,60,100,80,10.48,2,6361.2565434
001012969,Current,WALTER-WAUKESHA,,"Med-High Plain-Carbon,Alloy, Tool Steels",4130,Wet,Heavy,Okuma,WNMG432-NM9,WPP10,218.0,0.014,0.135,5.0,82.342365825,90,6000,75.00,15.56,1.5,988.1083899
001012969,Actual,SECO,00782052,"Med-High Plain-Carbon,Alloy, Tool Steels",4130,Wet,Heavy,Okuma,WNMG432-MR6,TP1500,218.0,0.014,0.135,9.0,148.216258485,90,6000,75.00,14.00,7,988.1083899
001012968,Current,WALTER-WAUKESHA,,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,Okuma,DNMM150612-NRF,WPP10,550.0,0.017,0.3,5.0,10.91917014,90,7000,75.00,16.00,2,131.03004168
001012968,Actual,SECO,37336948,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,Okuma,DNMM150612-R4,TP1500,650.0,0.017,0.3,16.0,29.565752992,90,7000,75.00,15.00,2,110.87157372
001012954,Current,"ISCAR METALS, INC.",,Titanium & Titanium Alloys,Ti-6Al-4V,Wet,None,lathe,vnmg331,ic907,200.0,0.004,0.03,10.0,69.94437172,60,200,80,15.12,2,419.66623032
001012954,Actual,KENNAMETAL,65003303,Titanium & Titanium Alloys,Ti-6Al-4V,Wet,None,lathe,vnmg331,kc5010,200.0,0.004,0.03,18.0,62.949934548,60,200,80,13.88,2,209.83311516
001012950,Current,"ISCAR METALS, INC.",,"Ferritic, Martensitic, PH Stainless Steels",17-4PH,Wet,None,lathe,cnmg432tf,ic908,300.0,0.007,0.1,25.0,31.164298150000004,300,2000,65,12.56,4,74.79431556
001012950,Actual,KENNAMETAL,92062710,"Ferritic, Martensitic, PH Stainless Steels",17-4PH,Wet,None,lathe,cnmg432rp,kcu10,300.0,0.0074,0.1,95.0,112.0230177,300,2000,65,9.41,4,70.7513796
001012946,Current,KENNAMETAL,,"Ferritic, Martensitic, PH Stainless Steels",440C,Wet,None,CNC LATHE,A4C0305N00CF02,KC5025,286.0,0.003,0.118,60.0,82.37835468,360,12000,65,21.20,2,82.37835468
001012946,Actual,SECO,72022395,"Ferritic, Martensitic, PH Stainless Steels",440C,Wet,None,CNC LATHE,LCMF1603040300MC,CP600,415.0,0.0044,0.118,160.0,103.22107087999998,360,12000,65,23.14,2,38.70790158
001012929,Current,SANDVIK HARD MATERIALS,,Gray Cast Irons,class 20,Wet,Light,Hardinge T42 SP,WNMG 431 MA,US 7020,260.0,0.01,0.4075,35.0,17.12645991,60,4400,50.00,9.50,6,29.35964556
001012929,Actual,KENNAMETAL,02339711,Gray Cast Irons,class 20,Wet,Light,Hardinge T42,WNMG 4305 LF,KC5010,450.0,0.0125,0.4075,60.0,13.5706806,60,4400,50.00,14.99,6,13.5706806
001012918,Current,KENNAMETAL,,"Med-High Plain-Carbon,Alloy, Tool Steels",A,Dry,None,CNC LATHE,VNGA332T0420,KB5625,140.0,0.01,0.015,0.2,3877.3373281560002,360,100,65,63.00,2,1163201.1984468
001012918,Actual,SECO,05563549,"Med-High Plain-Carbon,Alloy, Tool Steels",A,Dry,None,CNC LATHE,VNGA332S,CBN10,140.0,0.01,0.015,0.3,5816.005992234,360,100,65,67.70,2,1163201.1984468
001012915,Current,KENNAMETAL,,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,Mori Seiki,VNMG431-FP,KC5010,300.0,0.002,0.02,8.0,3.60518324,120,220,100.00,19.70,4,27.0388743
001012915,Actual,SECO,43629690,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,Mori Seiki,VNMG331-FF2,TP1030,400.0,0.003,0.02,24.0,5.407774848,120,220,100.00,15.40,4,13.51943712
001012914,Current,KENNAMETAL,,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,Mori Seiki,CNMG431MP,KC5010,250.0,0.005,0.04,8.0,20.58219888,120,220,100.00,7.90,4,154.3664916
001012914,Actual,SECO,43621754,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,Mori Seiki,CNMG432-FF2,TP1030,250.0,0.01,0.125,11.0,4.245078519,120,220,100.00,8.49,4,23.15497374
001012913,Current,KENNAMETAL,,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,Mori Seiki,CNMG432,KC5010,400.0,0.003,0.04,8.0,1.560157056,120,220,100.00,7.90,4,11.70117792
001012913,Actual,SECO,63092530,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,Mori Seiki,CNMG432-FF2,TP1030,400.0,0.003,0.04,24.0,4.680471168,120,220,100.00,8.49,4,11.70117792
001012912,Current,SECO,,Gray Cast Irons,class 30,Wet,None,fuji,cnmg 432 m7,tk1000,1500.0,0.016,0.08,150.0,8.18062815,180,1224000,60.00,5.60,4,3.27225126
001012912,Actual,SECO,44165892,Gray Cast Irons,class 30,Wet,None,fuji,cnmg432 m5,tk1001,1500.0,0.016,0.08,250.0,13.63438025,180,1224000,60.00,6.06,4,3.27225126
001012911,Current,KENNAMETAL,,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,Mori Seiki,NMP431,KC5010,250.0,0.007,0.02,8.0,0.785041136,120,220,100.00,26.47,4,5.88780852
001012911,Actual,SECO,43289511,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,Mori Seiki,DNMG432-FF2,TP1030,250.0,0.007,0.02,24.0,2.355123408,120,220,100.00,11.56,4,5.88780852
001012910,Current,INGERSOLL CUTTING TOOL COMPANY,,"Nickel-Base, Heat Resistant Alloys",Inconel 718,Wet,None,Mori Seiki,CNMG433MP,TT5080,160.0,0.006,0.04,1.0,1.297693062,120,225,100.00,7.25,4,77.86158372
001012910,Actual,SECO,72493257,"Nickel-Base, Heat Resistant Alloys",Inconel 718,Wet,None,Mori Seiki,CNMG433-MR3,TS2000,160.0,0.006,0.04,4.0,5.190772248,120,225,100.00,10.49,4,77.86158372
001012909,Current,INGERSOLL CUTTING TOOL COMPANY,,"Nickel-Base, Heat Resistant Alloys",Inconel 718,Wet,None,Mori Seiki,CNMG433MP,TT5080,160.0,0.006,0.04,1.0,4.460514834,120,225,100.00,7.25,4,267.63089004
001012909,Actual,SECO,72493257,"Nickel-Base, Heat Resistant Alloys",Inconel 718,Wet,None,Mori Seiki,CNMG433-MR3,TS2000,160.0,0.006,0.04,4.0,17.842059336,120,225,100.00,10.49,4,267.63089004
001012908,Current,INGERSOLL CUTTING TOOL COMPANY,,"Nickel-Base, Heat Resistant Alloys",Inconel 718,Wet,None,Mori Seiki,CNMG433MP,TT5080,160.0,0.004,0.04,1.0,4.951370260999999,120,225,100.00,7.25,4,297.08221566
001012908,Actual,SECO,72493257,"Nickel-Base, Heat Resistant Alloys",Inconel 718,Wet,None,Mori Seiki,CNMP433-MR3,TS2000,160.0,0.006,0.04,3.0,9.902740515,120,225,100.00,10.49,4,198.0548103
001012907,Current,INGERSOLL CUTTING TOOL COMPANY,,"Nickel-Base, Heat Resistant Alloys",Inconel 718,Wet,None,Mori Seiki,CNMG432MP,TT5080,175.0,0.005,0.03,2.0,5.2263276,120,800,100.00,7.25,4,156.789828
001012907,Actual,SECO,72493919,"Nickel-Base, Heat Resistant Alloys",Inconel 718,Wet,None,Mori Seiki,CNMP432-M1,TS2500,160.0,0.006,0.045,2.0,3.1757198919999996,120,800,100.00,10.49,4,95.27159676
001012906,Current,INGERSOLL CUTTING TOOL COMPANY,,"Nickel-Base, Heat Resistant Alloys",Inconel 718,Wet,None,MORI SEIKI,CNMG432-MP,TT5080,300.0,0.006,0.04,2.0,4.757882491999999,120,225,100.00,7.25,4,142.73647476
001012906,Actual,SECO,72493919,"Nickel-Base, Heat Resistant Alloys",Inconel 718,Wet,None,MORI SEIKI,CNMP432-M1,TS2500,300.0,0.006,0.04,4.0,9.515764983999999,120,225,100.00,10.49,4,142.73647476
001012905,Current,INGERSOLL CUTTING TOOL COMPANY,,"Nickel-Base, Heat Resistant Alloys",Inconel 718,Wet,None,MORI SEIKI,CNMG432-MP,TT5080,300.0,0.004,0.04,8.0,4.81675392,120,225,100.00,7.25,4,36.1256544
001012905,Actual,SECO,72493919,"Nickel-Base, Heat Resistant Alloys",Inconel 718,Wet,None,MORI SEIKI,CNMP432-M1,TS2500,300.0,0.004,0.04,24.0,14.45026176,120,225,100.00,10.49,4,36.1256544
001012904,Current,KENNAMETAL,,"Nickel-Base, Heat Resistant Alloys",Inconel 718,Wet,None,JOHNFORD,VNMG332-K,KC730,150.0,0.003,0.04,1.0,10.414427004,120,102,100.00,10.82,4,624.86562024
001012904,Actual,SECO,72493794,"Nickel-Base, Heat Resistant Alloys",Inconel 718,Wet,None,JOHNFORD,VNGP332-M1,TS2000,150.0,0.003,0.04,3.0,31.243281012,120,102,100.00,21.99,4,624.86562024
001012902,Current,KENNAMETAL,,"Nickel-Base, Heat Resistant Alloys",Inconel 718,Wet,None,JOHNFORD,DNMG431-FF,KC5010,200.0,0.004,0.02,1.0,1.9130890090000001,120,102,100.00,10.60,4,114.78534054
001012902,Actual,SECO,72493281,"Nickel-Base, Heat Resistant Alloys",Inconel 718,Wet,None,JOHNFORD,DNMG431-MF1,TS2000,200.0,0.004,0.02,3.0,5.739267027,120,102,100.00,14.21,4,114.78534054
001012901,Current,INGERSOLL CUTTING TOOL COMPANY,,"Nickel-Base, Heat Resistant Alloys",Inconel 718,Wet,None,Mori Seiki,CNMG432MP,TT5080,175.0,0.005,0.02,1.0,4.08077786,120,800,100.00,7.25,4,244.8466716
001012901,Actual,SECO,72493919,"Nickel-Base, Heat Resistant Alloys",Inconel 718,Wet,None,Mori Seiki,CNMP 432-M1,TS2500,160.0,0.006,0.035,2.0,4.463350788,120,800,100.00,10.49,4,133.90052364
001012893,Current,SANDVIK HARD MATERIALS,,"Nickel-Base, Heat Resistant Alloys",in 102,Wet,None,Morie CNC Lathe,WNMG 332-WM,1115,400.0,0.012,1.0,3.0,34.031413611000005,60,3750,75.00,9.00,6,680.62827222
001012893,Actual,SECO,72493489,"Nickel-Base, Heat Resistant Alloys",in 102,Wet,None,Morie CNC Lathe,WNGP 332,TS2000,400.0,0.012,1.0,30.0,340.31413611,60,3750,75.00,9.50,6,680.62827222
001012883,Current,INGERSOLL CUTTING TOOL COMPANY,,"Nickel-Base, Heat Resistant Alloys",Inconel 718,Wet,None,Mori Seiki,CNMG432MP,TT5080,175.0,0.005,0.03,1.0,3.0605833959999997,120,800,100.00,7.25,4,183.63500376
001012883,Actual,SECO,72493919,"Nickel-Base, Heat Resistant Alloys",Inconel 718,Wet,None,Mori Seiki,CNMP432-M1,TS2500,160.0,0.006,0.045,2.0,4.18439136,120,800,100.00,10.49,4,125.5317408
001012881,Current,SANDVIK HARD MATERIALS,,"Nickel-Base, Heat Resistant Alloys",Inconel 718,Wet,None,Mori Seiki,DNMG432MF,1105,300.0,0.006,0.04,1.0,2.8288714369999997,120,225,100.00,8.65,4,169.73228622
001012881,Actual,SECO,75701011,"Nickel-Base, Heat Resistant Alloys",Inconel 718,Wet,None,Mori Seiki,DNMG432MF4,TS2000,300.0,0.006,0.04,4.0,11.315485747999999,120,225,100.00,11.56,4,169.73228622
001012873,Current,SECO,,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,Mori seiki  15HP,CNMG 432 MF4,TM4000,650.0,0.012,0.1,7.0,0.264297201,120,2000,85.00,8.45,4,2.26540458
001012873,Actual,SUMITOMO ELECTRIC CARBIDE INC,35566140,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,Mori seiki  15HP,CNMG 432 ESU,AC820P,650.0,0.012,0.1,12.0,0.45308091599999994,120,2000,85.00,7.38,4,2.26540458
001012857,Current,SANDVIK HARD MATERIALS,,"Ferritic, Martensitic, PH Stainless Steels",PH 13-8 Mo,Wet,None,CNC LATHE,N123G2-0300-0004-TM,4225,500.0,0.002,0.063,300.0,14.7251307,120,20000,65,24.09,2,2.94502614
001012857,Actual,KENNAMETAL,09190943,"Ferritic, Martensitic, PH Stainless Steels",PH 13-8 Mo,Wet,None,CNC LATHE,A4C0305R10CF02,KC5025,600.0,0.002,0.063,500.0,20.451570500000003,120,20000,65,19.27,2,2.45418846
001012854,Current,KENNAMETAL,,"Nickel-Base, Heat Resistant Alloys",Inconel 625,Wet,None,hass,ngd3125lk,kc730,100.0,0.003,0.05,6.0,2.356020936,240,1000,27.5,13.40,2,23.56020936
001012854,Actual,HERTEL,69019784,"Nickel-Base, Heat Resistant Alloys",Inconel 625,Wet,None,hass,IR3031L,HC225,100.0,0.003,0.05,7.0,2.7486910920000005,240,1000,27.5,9.20,2,23.56020936
001012787,Current,KENNAMETAL,,Free-Machining Steels,1141,Wet,None,Rotorion,CNMG 432 MG,KC 850,500.0,0.008,0.05,150.0,29.450261700000002,300,250000,75.00,11.65,4,11.78010468
001012787,Actual,TUNGALOY,62635578,Free-Machining Steels,1141,Wet,None,Rotorion,CNMG 432 SM,AH 630,500.0,0.008,0.05,450.0,88.35078510000001,300,250000,75.00,7.35,4,11.78010468
001012786,Current,KENNAMETAL,,Free-Machining Steels,1141,Wet,Light,Rotorion,VNMP 331K,KC 935,500.0,0.008,0.05,1200.0,188.4816744,300,250000,75.00,19.90,4,9.42408372
001012786,Actual,TUNGALOY,45743598,Free-Machining Steels,1141,Wet,Light,Rotorion,VNMG 331 SM,AH 630,500.0,0.008,0.05,1800.0,282.7225116,300,250000,75.00,10.37,4,9.42408372
001012785,Current,SANDVIK HARD MATERIALS,,Ductile (Nodular) & Malleable Cast Irons,D5506,Wet,Heavy,Okuma Lathe,CNMA 433 KR,3205,800.0,0.014,0.08,32.0,7.6439790080000005,120,25000,75.0,9.26,4,14.33246064
001012785,Actual,KENNAMETAL,79261038,Ductile (Nodular) & Malleable Cast Irons,D5506,Wet,Heavy,Okuma Lathe,CNMA433T0820,KY3500,1200.0,0.015,0.08,50.0,7.4316463,120,25000,75.0,18.11,4,8.91797556
001012783,Current,SANDVIK HARD MATERIALS,,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,Okuma,CNMM 433 -PR,4225,600.0,0.018,0.12,15.0,11.81228184,120,35000,75.0,9.26,2,47.24912736
001012783,Actual,KENNAMETAL,00589994,"Med-High Plain-Carbon,Alloy, Tool Steels",4140,Wet,None,Okuma,CNMM 433 RM,KC9125,600.0,0.018,0.12,32.0,25.199534592000003,120,35000,75.0,8.61,2,47.24912736
001012748,Current,"ISCAR METALS, INC.",,Gray Cast Irons,class 20,Wet,None,Warner & Swasey 3 SC,CNMA432,IC5005,999.0,0.0035,0.18,1.0,7.187441742,1.0,2500,80.,6.58,4,431.24650452
001012748,Actual,SECO,87548483,Gray Cast Irons,class 20,Wet,None,Warner & Swasey 3 SC,WNMG433W,TK2000,999.0,0.016,0.18,5.0,7.861264405,1.0,2500,80.,9.82,6,94.33517286
001012747,Current,"ISCAR METALS, INC.",,Gray Cast Irons,class 20,Wet,None,Warner & Swasey 3 SC,CNMA432,IC5005,999.0,0.0035,0.18,1.0,7.187441742,1.0,2500,80.,6.58,4,431.24650452
